Season,Team,age,wins,losses,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,net_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate
2009/2010,Golden State Warriors,25.1,26,56,32,50,-3.60,0.32,-3.28,108.1,111.7,-3.6,100.4,.294,.238,.557,.514,13.1,20.9,.230,.525,15.1,68.5,.260
2009/2010,New York Knicks,25.4,29,53,31,51,-3.82,-0.19,-4.01,107.6,111.6,-4.0,94.0,.256,.312,.547,.509,13.0,23.5,.200,.526,13.3,72.1,.207
2009/2010,Philadelphia 76ers,25.4,27,55,30,52,-3.90,-0.03,-3.93,106.1,110.3,-4.2,91.6,.270,.206,.534,.496,13.7,27.6,.204,.518,13.8,73.2,.231
2009/2010,Sacramento Kings,24.1,25,57,29,53,-4.37,0.30,-4.06,105.3,109.9,-4.6,94.0,.286,.201,.528,.491,13.6,27.8,.207,.505,12.6,73.5,.244
2009/2010,Washington Wizards,27.6,26,56,28,54,-4.78,0.06,-4.72,104.2,109.4,-5.2,91.6,.283,.183,.524,.481,13.9,27.6,.216,.502,12.8,72.4,.239
2009/2010,Detroit Pistons,26.7,27,55,26,56,-5.11,0.09,-5.02,105.6,111.4,-5.8,88.5,.303,.180,.515,.474,12.8,30.3,.220,.526,14.2,73.4,.264
2009/2010,Los Angeles Clippers,27.3,29,53,24,58,-6.35,0.34,-6.01,103.3,110.1,-6.8,92.6,.283,.221,.529,.491,14.8,27.1,.206,.509,12.2,74.0,.214
2009/2010,Minnesota Timberwolves,24.1,15,67,17,65,-9.60,0.54,-9.06,101.7,111.6,-9.9,96.1,.278,.171,.518,.478,14.6,26.7,.207,.525,13.0,73.6,.220
2009/2010,New Jersey Nets,24.8,12,70,17,65,-9.12,0.19,-8.93,100.6,110.5,-9.9,91.4,.307,.181,.509,.458,13.7,25.1,.240,.517,13.3,71.8,.229
2009/2010,Seattle Storm,27.7,28,6,27,7,7.91,-1.98,5.93,108.2,97.7,+10.5,74.5,.312,.299,.549,.500,17.1,35.9,.247,.456,17.3,73.2,.256
2009/2010,Indiana Fever,28.6,21,13,23,11,4.21,0.68,4.89,102.0,96.5,+5.5,75.9,.335,.275,.540,.489,18.3,29.5,.262,.458,19.8,69.7,.266
2009/2010,Washington Mystics,28.0,22,12,23,11,3.65,0.81,4.46,101.8,97.0,+4.8,75.0,.346,.216,.541,.489,19.6,33.5,.268,.464,18.0,74.2,.257
2009/2010,New York Liberty,27.8,22,12,22,12,3.24,0.86,4.10,104.7,100.4,+4.3,74.8,.253,.258,.548,.505,16.7,27.5,.207,.477,17.8,71.3,.257
2009/2010,Atlanta Dream,26.0,19,15,20,14,2.26,0.93,3.20,101.5,98.8,+2.7,83.5,.344,.185,.515,.471,16.8,34.4,.244,.469,17.6,72.9,.267
2009/2010,Connecticut Sun,25.2,17,17,19,15,1.15,1.13,2.28,102.0,100.6,+1.4,78.2,.278,.271,.520,.473,15.9,29.2,.223,.474,15.9,72.0,.208
2009/2010,Phoenix Mercury,27.0,15,19,17,17,0.12,-0.98,-0.87,109.9,109.8,+0.1,83.6,.309,.288,.578,.525,15.8,25.0,.262,.502,13.1,69.9,.219
2009/2010,Chicago Sky,26.8,14,20,16,18,-0.74,1.32,0.58,100.5,101.5,-1.0,74.8,.329,.236,.523,.477,16.8,28.1,.245,.491,17.8,69.2,.203
2009/2010,Los Angeles Sparks,29.7,13,21,12,22,-3.32,-0.54,-3.87,100.7,105.0,-4.3,77.1,.278,.271,.535,.486,16.7,23.6,.228,.488,15.7,68.8,.213
2009/2010,Minnesota Lynx,25.5,13,21,12,22,-3.41,-1.09,-4.51,97.9,102.2,-4.3,78.9,.344,.221,.489,.433,15.3,30.7,.260,.495,18.1,73.0,.258
2009/2010,San Antonio Silver Stars,29.1,14,20,12,22,-3.26,-1.11,-4.38,101.7,106.0,-4.3,75.5,.293,.278,.548,.507,18.0,25.0,.224,.507,16.5,69.6,.225
2009/2010,Tulsa Shock,26.3,6,28,4,30,-11.79,-0.02,-11.81,94.9,109.2,-14.3,81.9,.294,.238,.505,.466,19.0,27.8,.209,.528,18.5,65.6,.258
